R	53.3334	-6.40628	A231	16 Feb 2024	A231\n20:25 - Cork to Dublin Heuston (7 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P225	16 Feb 2024	P225\n19:25 - Portlaoise to Dublin Heuston (12 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.347	-6.25425	E258	16 Feb 2024	E258\n20:15 - Malahide to Bray (1 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
R	53.347	-6.25425	E944	16 Feb 2024	E944\n19:57 - Bray to Howth (3 mins late)\nArrived Tara Street next stop Dublin Connolly	Northbound
R	53.3602	-7.79847	A811	16 Feb 2024	A811\n18:25 - Westport to Dublin Heuston (9 mins late)\nDeparted Clonydonnin next stop Tullamore	To Dublin Heuston
R	53.3632	-6.25908	P678	16 Feb 2024	P678\n20:07 - Maynooth to Dublin Pearse (0 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Southbound
R	53.373	-6.20442	E842	16 Feb 2024	E842\n19:47 - Bray to Malahide (2 mins late)\nDeparted Killester next stop Harmonstown	Northbound
R	53.378	-6.58993	P762	16 Feb 2024	P762\n20:42 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3815	-6.17699	E130	16 Feb 2024	E130\n20:30 - Howth to Greystones (0 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.3831	-6.4242	D934	16 Feb 2024	D934\n20:10 - Dublin Pearse to Maynooth (0 mins late)\nArrived Clonsilla next stop Leixlip (Confey)	Northbound
R	53.3917	-6.13678	E943	16 Feb 2024	E943\n19:35 - Bray to Howth (0 mins late)\nArrived Bayside next stop Sutton	Northbound
R	53.4032	-6.14839	P624	16 Feb 2024	P624\n20:00 - Drogheda to Dublin Pearse (0 mins late)\nDeparted Clongriffin next stop Dublin Connolly	Southbound
R	53.4509	-6.15649	D826	16 Feb 2024	D826\n20:15 - Dublin Pearse to Drogheda (1 mins late)\nDeparted Malahide next stop Donabate	Northbound
R	53.523	-7.34608	A914	16 Feb 2024	A914\n19:17 - Dublin Connolly to Sligo (3 mins late)\nArrived Mullingar next stop Edgeworthstown	Northbound
R	53.7243	-7.79574	A915	16 Feb 2024	A915\n19:05 - Sligo to Dublin Connolly (22 mins late)\nDeparted Longford next stop Edgeworthstown	Southbound
R	54.0007	-6.41291	A134	16 Feb 2024	A134\n19:00 - Dublin Connolly to Belfast (12 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	P625	16 Feb 2024	P625\n20:40 - Dundalk to Dublin Pearse (1 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
T	53.3433	-6.24829	P677	16 Feb 2024	P677\n19:45 - Maynooth to Dublin Pearse(0 mins late)\nTERMINATED Dublin Pearse at 20:36	Southbound
T	53.3531	-6.24591	A613	16 Feb 2024	A613\n17:30 - Rosslare Europort to Dublin Connolly(9 mins late)\nTERMINATED Dublin Connolly at 20:38	Northbound
T	53.3531	-6.24591	A913	16 Feb 2024	A913\n16:55 - Sligo to Dublin Connolly(-2 mins late)\nTERMINATED Dublin Connolly at 20:34	Southbound
T	53.3831	-6.4242	P328	16 Feb 2024	P328\n20:25 - M3 Parkway to Clonsilla(-1 mins late)\nTERMINATED Clonsilla at 20:35	Southbound
T	54.2723	-8.48249	A912	16 Feb 2024	A912\n17:10 - Dublin Connolly to Sligo(15 mins late)\nTERMINATED Sligo at 20:36	Northbound
